"id","condition","total_score","age","ease","edu","imphear","interest","L1","notes","prep","self","test"
623292,"nopints",7,28,5,"uni","no",5,"ger","no",5,"adv","c1"
623298,"silence",6,34,3,"uni","no",1,"ger","no",1,"adv","c1"
623301,"original",4,38,1,"hs","no",1,"ger","no",1,"beg","none"
623303,"original",7,58,4,"hs","no",3,"ger","no",5,"adv","c2"
623329,"nopints",7,30,4,"uni","no",3,"ger","no",4,"adv","none"
623338,"original",5,38,1,"hs","no",3,"ger","no",1,"adv","b2"
623342,"silence",5,49,2,"hs","no",3,"ger","no",3,"int","none"
623343,"nopints",6,39,2,"other","no",3,"ger","no",4,"adv","c2"
623350,"original",7,32,3,"hs","no",2,"ger","no",4,"int","b2"
623318,"nopints",4,28,3,"uni","no",3,"ger","no",2,"adv","c2"
623355,"silence",4,26,2,"hs","no",1,"ger","no",2,"adv","none"
623357,"original",4,72,1,"hs","no",4,"ger","no",2,"adv","none"
623654,"nopints",5,38,4,"hs","no",2,"ger","no",4,"adv","none"
623629,"silence",5,24,2,"uni","no",1,"ger","no",2,"adv","none"
623638,"nopints",7,36,2,"uni","no",4,"ger","no",2,"int","b2"
623667,"nopints",7,40,2,"uni","no",1,"ger","no",2,"int","none"
623648,"original",7,34,5,"uni","no",4,"ger","no",3,"adv","c2"
623671,"silence",7,38,2,"other","no",3,"ger","no",2,"adv","b1"
623649,"silence",3,21,3,"hs","no",4,"ger","no",4,"int","b2"
623658,"original",6,37,4,"uni","no",1,"ger","no",4,"adv","c1"
623659,"silence",8,30,2,"uni","no",1,"ger","no",2,"adv","none"
623669,"nopints",7,37,1,"uni","no",2,"ger","no",2,"adv","c2"
623677,"original",5,28,3,"hs","no",2,"ger","no",2,"adv","none"
623678,"nopints",6,37,2,"uni","no",2,"ger","no",3,"adv","c2"
623679,"original",6,34,4,"uni","no",3,"ger","no",3,"int","b1"
623694,"silence",7,54,4,"uni","no",4,"ger","no",4,"adv","none"
623700,"original",6,35,2,"uni","no",2,"ger","no",2,"int","b2"
623741,"silence",3,22,2,"hs","no",2,"ger","no",1,"int","none"
623707,"nopints",5,25,3,"hs","no",4,"ger","no",5,"adv","none"
623719,"original",7,37,1,"uni","no",1,"ger","no",1,"adv","c2"
623725,"original",6,35,1,"hs","no",1,"ger","no",1,"int","none"
623740,"nopints",8,36,3,"uni","no",5,"ger","no",5,"adv","c2"
623753,"nopints",6,22,2,"hs","no",2,"ger","no",3,"int","b2"
623756,"original",7,27,5,"uni","no",4,"ger","no",3,"adv","c1"
623764,"nopints",6,26,2,"uni","no",1,"ger","no",3,"int","b2"
623767,"silence",5,35,3,"uni","no",1,"ger","no",1,"adv","none"
623773,"original",6,22,3,"hs","no",2,"ger","no",2,"adv","c1"
623774,"silence",8,35,3,"uni","no",1,"ger","no",3,"adv","none"
623775,"nopints",4,28,3,"hs","no",3,"ger","no",4,"adv","b2"
623776,"silence",4,70,2,"uni","no",3,"ger","no",3,"int","b1"
623779,"nopints",3,59,1,"hs","no",3,"ger","no",2,"adv","none"
623783,"silence",5,28,3,"uni","no",3,"ger","no",2,"int","b2"
623795,"silence",8,21,1,"hs","no",1,"ger","no",2,"adv","c2"
623860,"original",7,45,2,"uni","no",3,"ger","no",2,"adv","c1"
624329,"silence",7,25,4,"hs","no",2,"ger","no",2,"adv","b2"
